index,title,year,doi,url,categories,scope,status,verdict,matched_condition,evidence_paper_id,gap
28,A cellular automata ant memory model of foraging in a swarm of robots,2017,10.1016/j.apm.2017.03.021,https://doi.org/10.1016/j.apm.2017.03.021,pheromone_trail_foraging;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,single_food_trail,perna_2012,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
29,An agent-based model to investigate the roles of attractive and repellent pheromones in ant decision making during foraging,2008,10.1016/j.jtbi.2008.08.015,https://doi.org/10.1016/j.jtbi.2008.08.015,pheromone_trail_foraging;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
30,Trail Pheromone Disruption of Argentine Ant Trail Formation and Foraging,2010,10.1007/s10886-009-9734-1,https://doi.org/10.1007/s10886-009-9734-1,misleading_negative_pheromone;pheromone_trail_foraging,category_proxy,partial,covered_by_generic_proxy,negative_pheromone_forbidden_path + misleading_pheromone_attack_and_caution,jimenez_romero_2015/aswale_2022,Avoid/fake pheromone effects are measurable but lack active detractor agents and individual learning.
31,The foraging ecology of the army ant Eciton rapax: an ergonomic enigma?,1985,10.1111/j.1365-2311.1985.tb00542.x,https://doi.org/10.1111/j.1365-2311.1985.tb00542.x,pheromone_trail_foraging;nest_relocation_house_hunting;army_ant_raids_mills;food_quality_choice,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
32,A probabilistic cellular automata ant memory model for a swarm of foraging robots,2016,10.1109/icarcv.2016.7838615,https://doi.org/10.1109/icarcv.2016.7838615,pheromone_trail_foraging;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,single_food_trail,perna_2012,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
33,Ants (Lasius niger) deposit more pheromone close to food sources and further from the nest but do not attempt to update erroneous pheromone trails,2024,10.1007/s00040-024-00995-y,https://doi.org/10.1007/s00040-024-00995-y,pheromone_trail_foraging;food_quality_choice;networks_interactions,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
34,"Aerosol delivery of trail pheromone disrupts the foraging of the red imported fire ant, <i>Solenopsis invicta</i>",2012,10.1002/ps.3349,https://doi.org/10.1002/ps.3349,misleading_negative_pheromone;pheromone_trail_foraging,category_proxy,partial,covered_by_generic_proxy,negative_pheromone_forbidden_path + misleading_pheromone_attack_and_caution,jimenez_romero_2015/aswale_2022,Avoid/fake pheromone effects are measurable but lack active detractor agents and individual learning.
35,Formal analysis in a cellular automata ant model using swarm intelligence in robotics foraging task,2017,10.1109/smc.2017.8122876,https://doi.org/10.1109/smc.2017.8122876,pheromone_trail_foraging;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,single_food_trail,perna_2012,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
36,Ant Colony Optimization Based Model Checking Extended by Smell-like Pheromone,2016,10.4108/eai.21-4-2016.151156,https://doi.org/10.4108/eai.21-4-2016.151156,pheromone_trail_foraging;networks_interactions;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,single_food_trail,perna_2012,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
37,Walk this way: modeling foraging ant dynamics in multiple food source environments,2024,10.1007/s00285-024-02136-2,https://doi.org/10.1007/s00285-024-02136-2,pheromone_trail_foraging;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
38,A continuous model of ant foraging with pheromones and trail formation,2015,10.5540/03.2015.003.01.0323,https://doi.org/10.5540/03.2015.003.01.0323,pheromone_trail_foraging;computational_swarm_model,exact_paper_condition,pass,aligned_qualitative,rain_food_removal_washout,amorim_2014,"Trail formation and decay are represented, but the simulator is an ABM with heuristic field units rather than Amorim's calibrated PDE chemotaxis variables."
39,Distributed Task Allocation in Network of Agents Based on Ant Colony Foraging Behavior,2023,10.1145/3606305.3606324,https://doi.org/10.1145/3606305.3606324,pheromone_trail_foraging;task_allocation_division_labor;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,task_demand_reallocation,kang_theraulaz_2015,"Task-demand switching and switch-rate summaries are covered, but worker-contact matrices and network calibration are not yet available."
40,Avoiding traffic jams: Hitchhiking behavior as a strategy to reduce ant workers’ traffic on the foraging trail,2018,10.1016/j.beproc.2018.08.015,https://doi.org/10.1016/j.beproc.2018.08.015,pheromone_trail_foraging;traffic_collective_motion,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
41,Effect of trail pheromones and weather on the moving behaviour of the army ant Eciton burchellii,2011,10.1007/s00040-010-0140-z,https://doi.org/10.1007/s00040-010-0140-z,pheromone_trail_foraging;army_ant_raids_mills,category_proxy,partial,covered_by_generic_proxy,ant_mill/death_spiral qualitative probe,literature_alignment_probe,"Death spiral and army-ant-like trails are qualitative; raid geometry, living bridges and species-specific energetics need new conditions."
42,Delay-Induced Hopf Bifurcation and Entropy-Based Distributional Uncertainty in a Stochastic Time-Delay Pheromone Feedback Model of Ant Foraging Dynamics,2026,10.3390/e28070751,https://doi.org/10.3390/e28070751,pheromone_trail_foraging;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
43,"Pheromone trail following is not modulated by previous visit to food location, distance travelled, or travel direction in the ant Lasius niger",2026,10.1007/s00040-026-01106-9,https://doi.org/10.1007/s00040-026-01106-9,pheromone_trail_foraging;food_quality_choice,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
44,Building a polydomous colony: nest network expansion by Linepithema humile,2026,10.1007/s00040-026-01081-1,https://doi.org/10.1007/s00040-026-01081-1,pheromone_trail_foraging;brood_nest_microclimate;nest_relocation_house_hunting;food_quality_choice;networks_interactions,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
45,"Pheromone trail following is not modulated by previous visit to food location, distance travelled, or travel direction in the ant Lasius niger",2025,10.21203/rs.3.rs-7630446/v1,https://doi.org/10.21203/rs.3.rs-7630446/v1,pheromone_trail_foraging;food_quality_choice,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
46,"Stop and go: exploring alternative mechanisms for task allocation in social insects - response and satisfaction thresholds trade off cost, accuracy, and speed differently",2024,10.1101/2024.05.13.593812,https://doi.org/10.1101/2024.05.13.593812,pheromone_trail_foraging;task_allocation_division_labor;brood_nest_microclimate;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,brood_microclimate_stage_thermoregulation,baudier_2019,"Brood microclimate is now testable, but generic corpus papers still need species-specific thermoregulation, nest-site geometry and brood-survival calibration."
47,Walk This Way: Modeling Foraging Ant Dynamics in Multiple Food Source Environments,2024,10.1101/2024.01.20.576461,https://doi.org/10.1101/2024.01.20.576461,pheromone_trail_foraging;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
48,Ant traffic flow: Raiding swarms with few rules avoid gridlock,2002,10.2307/4013963,https://doi.org/10.2307/4013963,traffic_collective_motion;army_ant_raids_mills;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
49,MODELING AND SIMULATION OF ANT COLONY'S LABOR DIVISION WITH CONSTRAINTS FOR TASK ALLOCATION OF RESILIENT SUPPLY CHAINS,2012,10.1142/s0218213012400143,https://doi.org/10.1142/s0218213012400143,task_allocation_division_labor;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,task_demand_reallocation,kang_theraulaz_2015,"Task-demand switching and switch-rate summaries are covered, but worker-contact matrices and network calibration are not yet available."
50,Chemical Releasers of Social Behavior—IV. The Hindgut as the Source of the Odor Trail Pheromone in the Neotropical Army Ant Genus Eciton1,1964,10.1093/aesa/57.6.793,https://doi.org/10.1093/aesa/57.6.793,pheromone_trail_foraging;army_ant_raids_mills,category_proxy,partial,covered_by_generic_proxy,ant_mill/death_spiral qualitative probe,literature_alignment_probe,"Death spiral and army-ant-like trails are qualitative; raid geometry, living bridges and species-specific energetics need new conditions."
51,Plastic collective endothermy in a complex animal society (army ant bivouacs: <i>Eciton burchellii parvispinum</i> ),2019,10.1111/ecog.04064,https://doi.org/10.1111/ecog.04064,brood_nest_microclimate;army_ant_raids_mills,exact_paper_condition,pass,aligned_qualitative,brood_microclimate_stage_thermoregulation,baudier_2019,"The simulator now tests brood microclimate and stage-dependent thermoregulation, but still lacks fitted metabolic heat budgets, nest-site choice geometry and species-specific brood survival curves."
52,Multiple-Agent Task Allocation Algorithm Utilizing Ant Colony Optimization,2013,10.4304/jnw.8.11.2599-2606,https://doi.org/10.4304/jnw.8.11.2599-2606,task_allocation_division_labor;networks_interactions;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,task_demand_reallocation,kang_theraulaz_2015,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
53,"No evidence that recruitment pheromone modulates olfactory, visual, or spatial learning in the ant Lasius niger",2024,10.1007/s00265-024-03430-1,https://doi.org/10.1007/s00265-024-03430-1,pheromone_trail_foraging;food_quality_choice,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
54,Reduced foraging investment as an adaptation to patchy food sources: a phasic army ant simulation,2017,10.1101/101600,https://doi.org/10.1101/101600,pheromone_trail_foraging;brood_nest_microclimate;army_ant_raids_mills;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,brood_microclimate_stage_thermoregulation,baudier_2019,"Brood microclimate is now testable, but generic corpus papers still need species-specific thermoregulation, nest-site geometry and brood-survival calibration."
55,"Quorum sensing, recruitment, and collective decision-making during colony emigration by the ant Leptothorax albipennis",2002,10.1007/s00265-002-0487-x,https://doi.org/10.1007/s00265-002-0487-x,pheromone_trail_foraging;nest_relocation_house_hunting,exact_paper_condition,pass,aligned_qualitative,nest_relocation_quorum_choice,pratt_2002,"The simulator now has a quorum relocation proxy, but lacks species-specific tandem running, carrying trajectories, site-volume geometry and fitted quorum thresholds."
56,Ant-like task allocation and recruitment in cooperative robots,2000,10.1038/35023164,https://doi.org/10.1038/35023164,pheromone_trail_foraging;task_allocation_division_labor;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,task_demand_reallocation,kang_theraulaz_2015,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
57,From nonlinearity to optimality: pheromone trail foraging by ants,2003,10.1006/anbe.2003.2224,https://doi.org/10.1006/anbe.2003.2224,pheromone_trail_foraging,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
58,Trail geometry gives polarity to ant foraging networks,2004,10.1038/nature03105,https://doi.org/10.1038/nature03105,pheromone_trail_foraging;networks_interactions,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
59,The blind leading the blind in army ant raid patterns: Testing a model of self-organization (Hymenoptera: Formicidae),1991,10.1007/bf01048072,https://doi.org/10.1007/bf01048072,army_ant_raids_mills;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,ant_mill/death_spiral qualitative probe,literature_alignment_probe,"Death spiral and army-ant-like trails are qualitative; raid geometry, living bridges and species-specific energetics need new conditions."
60,Algorithms for task allocation in ants. (A study of temporal polyethism: Theory),1993,10.1007/bf02460691,https://doi.org/10.1007/bf02460691,task_allocation_division_labor;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,task_demand_reallocation,kang_theraulaz_2015,"Task-demand switching and switch-rate summaries are covered, but worker-contact matrices and network calibration are not yet available."
61,Multi-robot Task Allocation Based on Ant Colony Algorithm,2012,10.4304/jcp.7.9.2160-2167,https://doi.org/10.4304/jcp.7.9.2160-2167,task_allocation_division_labor;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,task_demand_reallocation,kang_theraulaz_2015,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
62,Spatial and temporal variation in pheromone composition of ant foraging trails,2007,10.1093/beheco/arl104,https://doi.org/10.1093/beheco/arl104,pheromone_trail_foraging,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
63,A connectionist type model of self-organized foraging and emergent behavior in ant swarms,1992,10.1016/s0022-5193(05)80697-6,https://doi.org/10.1016/s0022-5193(05)80697-6,pheromone_trail_foraging;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
64,Pheromone Disruption of Argentine Ant Trail Integrity,2008,10.1007/s10886-008-9566-4,https://doi.org/10.1007/s10886-008-9566-4,misleading_negative_pheromone;pheromone_trail_foraging,category_proxy,partial,covered_by_generic_proxy,negative_pheromone_forbidden_path + misleading_pheromone_attack_and_caution,jimenez_romero_2015/aswale_2022,Avoid/fake pheromone effects are measurable but lack active detractor agents and individual learning.
65,Colony size does not predict foraging distance in the ant Temnothorax rugatulus: a puzzle for standard scaling models,2013,10.1007/s00040-012-0272-4,https://doi.org/10.1007/s00040-012-0272-4,pheromone_trail_foraging;food_quality_choice;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
66,Consensus decision making in the ant Myrmecina nipponica: house-hunters combine pheromone trails with quorum responses,2012,10.1016/j.anbehav.2012.08.036,https://doi.org/10.1016/j.anbehav.2012.08.036,pheromone_trail_foraging;nest_relocation_house_hunting,exact_paper_condition,pass,aligned_qualitative,nest_relocation_quorum_choice,pratt_2002,"The simulator now has a quorum relocation proxy, but lacks species-specific tandem running, carrying trajectories, site-volume geometry and fitted quorum thresholds."
67,Argentine Ant (Hymenoptera: Formicidae) Trail Pheromone Enhances Consumption of Liquid Sucrose Solution,2000,10.1603/0022-0493-93.1.119,https://doi.org/10.1603/0022-0493-93.1.119,pheromone_trail_foraging;food_quality_choice,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
68,"Movement, Encounter Rate, and Collective Behavior in Ant Colonies",2021,10.1093/aesa/saaa036,https://doi.org/10.1093/aesa/saaa036,traffic_collective_motion;task_allocation_division_labor;networks_interactions,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
69,"Response thresholds to recruitment signals and the regulation of foraging intensity in the ant Myrmica sabuleti (Hymenoptera, Formicidae)",2000,10.1016/s0376-6357(99)00077-7,https://doi.org/10.1016/s0376-6357(99)00077-7,pheromone_trail_foraging;task_allocation_division_labor,category_proxy,partial,covered_by_generic_proxy,task_demand_reallocation,kang_theraulaz_2015,"Task-demand switching and switch-rate summaries are covered, but worker-contact matrices and network calibration are not yet available."
